"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3035","Check News page -2","","2026-03-20","passed","2026-03-20","","","",""
"","5620","Check My Local Weather - 1","","2026-03-20","passed","2026-03-20","","","",""
"","6456","Check My Local Weather - 4","","2026-03-20","passed","2026-03-20","","","",""
"","3069","Check News page","","2026-03-20","passed","2026-03-20","","","",""
"","4816","Check My Local Weather - 3","","2026-03-20","passed","2026-03-20","","","",""
"","6407","Check My Local Weather - 2","","2026-03-20","passed","2026-03-20","","","",""
